participant_id,TRIAL_INDEX,CURRENT_FIX_DURATION,CURRENT_FIX_END,CURRENT_FIX_INDEX,CURRENT_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_START,CURRENT_FIX_X,CURRENT_FIX_Y,EYE_TRACKED,NEXT_SAC_AMPLITUDE,NEXT_SAC_DIRECTION,article_id,article_title,article_batch,difficulty_level,paragraph_id,question,repeated_reading_trial,trial_index,selected_answer,is_correct,unique_paragraph_id,unique_trial_id
l39_542,8,202,8174,1,1,According,7973,397.0,226.9,Right,2.04,RIGHT,2,Nepal's Tiger Population on the Rise,3,Ele,1,What was done as part of the tiger population study?,False,8,A,True,3_2_1_Ele,l39_542_3_2_1_Ele_r0
l39_542,8,82,8279,2,2,to,8198,551.2,213.1,Right,3.46,RIGHT,2,Nepal's Tiger Population on the Rise,3,Ele,1,What was done as part of the tiger population study?,False,8,A,True,3_2_1_Ele,l39_542_3_2_1_Ele_r0
l39_542,8,241,8668,3,5,"survey,",8428,825.4,222.9,Right,3.21,RIGHT,2,Nepal's Tiger Population on the Rise,3,Ele,1,What was done as part of the tiger population study?,False,8,A,True,3_2_1_Ele,l39_542_3_2_1_Ele_r0
l39_542,8,241,8934,4,8,more,8694,1115.5,227.7,Right,1.74,RIGHT,2,Nepal's Tiger Population on the Rise,3,Ele,1,What was done as part of the tiger population study?,False,8,A,True,3_2_1_Ele,l39_542_3_2_1_Ele_r0
l39_542,8,131,9087,5,9,tigers,8957,1246.0,213.6,Right,2.48,RIGHT,2,Nepal's Tiger Population on the Rise,3,Ele,1,What was done as part of the tiger population study?,False,8,A,True,3_2_1_Ele,l39_542_3_2_1_Ele_r0
l39_542,8,133,9245,6,12,than,9113,1471.3,197.4,Right,3.53,LEFT,2,Nepal's Tiger Population on the Rise,3,Ele,1,What was done as part of the tiger population study?,False,8,A,True,3_2_1_Ele,l39_542_3_2_1_Ele_r0
l39_542,8,69,9347,7,9,tigers,9279,1198.1,211.6,Right,6.36,RIGHT,2,Nepal's Tiger Population on the Rise,3,Ele,1,What was done as part of the tiger population study?,False,8,A,True,3_2_1_Ele,l39_542_3_2_1_Ele_r0
l39_542,8,184,9572,8,15,time,9389,1691.2,201.8,Right,1.42,RIGHT,2,Nepal's Tiger Population on the Rise,3,Ele,1,What was done as part of the tiger population study?,False,8,A,True,3_2_1_Ele,l39_542_3_2_1_Ele_r0
l39_542,8,151,9743,9,16,since,9593,1823.5,209.7,Right,3.14,RIGHT,2,Nepal's Tiger Population on the Rise,3,Ele,1,What was done as part of the tiger population study?,False,8,A,True,3_2_1_Ele,l39_542_3_2_1_Ele_r0
l39_542,8,111,10129,10,18,1970s.,10019,2046.7,226.0,Right,18.14,LEFT,2,Nepal's Tiger Population on the Rise,3,Ele,1,What was done as part of the tiger population study?,False,8,A,True,3_2_1_Ele,l39_542_3_2_1_Ele_r0
